CR,account,ads,spend,CV,CPA,impressions
"CR454_横展開",AI_2,6,2801912,757,3701,2368498
"過去の当たりCR",AI_2,1,2359863,576,4097,1179309
"AI全部やめました渋谷Ver",AI_1,7,1207347,254,4753,1855898
"CR178_横展開",AI_3,2,673534,245,2749,502992
"過去の当たりCR",AI_1,2,580459,178,3261,493287
"過去の当たりCR",AI_3,2,381113,168,2269,221584
"一撃YouTube動画作成_途中CTAあり",AI_4,1,330474,0,,516686
"説明しようAI_冒頭1_林社長",AI_3,1,287551,105,2739,375632
"CR178_横展開",AI_1,2,282789,113,2503,219834
"箕輪さんまとめ",AI_2,3,261583,59,4434,442460
"スマ AIまとめ(林社長関連)",AI_3,2,260463,88,2960,90234
"CR454_横展開",AI_3,3,239029,87,2747,280376
"ClaudeCodeレベル",AI_1,2,224629,114,1970,124983
"過去の当たりCR",AI_4,1,216108,0,,1392687
"【ねねさん】Claude_Code",AI_1,3,203273,47,4325,182546
"ClaudeCode解説",AI_1,4,201940,89,2269,151646
"説明しようAI_冒頭1_林社長",AI_2,1,194826,60,3247,111540
"箕輪さんまとめ",AI_1,2,190791,70,2726,245497
"説明しようAI_冒頭1_林社長",AI_1,1,188927,84,2249,61549
"箕輪さんまとめ",AI_3,2,178575,46,3882,254020
"AIに仕事奪われる",AI_1,1,118078,47,2512,98916
"一撃YouTube動画作成_途中CTAあり",AI_1,4,94650,11,8605,46290
"一撃YouTube動画作成_途中CTAあり",AI_3,1,76263,6,12711,26293
"ClaudeCodeレベル",AI_2,1,56248,30,1875,19585
"CR454_横展開",AI_1,3,51525,5,10305,77055
"箕輪さんまとめ",AI_4,1,47413,0,,272734
"CR178_横展開",AI_2,2,44316,6,7386,106404
"未来人",AI_1,1,28399,6,4733,11243
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165",AI_3,1,26337,6,4390,33618
"手動DF_Smart+",AI_1,1,20023,5,4005,50463
"緊急動画",AI_3,1,18730,7,2676,14582
"CR454_横展開再出稿",AI_2,1,10136,3,3379,5654
"AIまとめ（休日ブースト）",AI_3,2,10036,0,,7217
"おい会���員_1年後悔",AI_1,1,9717,0,,6579
"やれやめろ＿編集強化",AI_1,1,9487,0,,11906
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165",AI_1,1,9111,0,,7803
"二極化(副業会社員)",AI_3,1,8826,5,1765,7454
"横展開CR",AI_1,1,8017,3,2672,12073
"横展開CR",AI_3,1,7932,2,3966,3822
"AIまとめ1",AI_2,1,7349,2,3675,2824
"Claudeが重要",AI_1,1,6624,3,2208,6082
"2026年AIツール_全ツール紹介_CTAあり",AI_1,1,6318,1,6318,3019
"AI副業の嘘2（AI訴求）毎日投稿",AI_1,1,6018,4,1505,9754
"ClaudeCode解説",AI_2,1,5200,2,2600,1994
"二極化_SORA2_冒頭1_中間2-2",AI_1,1,4513,0,,1449
"スマプラ",AI_2,1,3919,2,1960,1979
"箕輪さん→3兆円企業",AI_1,1,3066,0,,4061
"スマプラ",AI_3,1,3024,1,3024,5398
"正直に答えてね",AI_3,1,3010,0,,2497
"一撃YouTube動画作成_途中CTAあり",AI_2,1,1673,0,,501
"全部やめました-渋谷Ver",AI_2,1,1432,1,1432,1353
"尻込み_ちえみさん",AI_2,1,1101,0,,620