CR,accounts,accountList,ads,spend,sheetCV,sheetCPA,apiCV,apiCPA
"過去の当たりCR",4,"AI_1,AI_2,AI_3,AI_4",6,3537543,37,95609,922,3837
"CR454_横展開",3,"AI_1,AI_2,AI_3",12,3092466,187,16537,849,3642
"AI全部やめました渋谷Ver",1,"AI_1",7,1207347,54,22358,254,4753
"CR178_横展開",3,"AI_1,AI_2,AI_3",6,1000639,86,11635,364,2749
"箕輪さんまとめ",4,"AI_1,AI_2,AI_3,AI_4",8,678362,8,84795,175,3876
"説明しようAI_冒頭1_林社長",3,"AI_1,AI_2,AI_3",3,671304,56,11988,249,2696
"一撃YouTube動画作成_途中CTAあり",4,"AI_1,AI_2,AI_3,AI_4",7,503060,20,25153,17,29592
"ClaudeCodeレベル",2,"AI_1,AI_2",3,280877,9,31209,144,1951
"スマ AIまとめ(林社長関連)",1,"AI_3",1,260463,9,28940,88,2960
"ClaudeCode解説",2,"AI_1,AI_2",3,207140,0,,91,2276
"【ねねさん】Claude_Code",1,"AI_1",3,203273,19,10699,47,4325
"AIに仕事奪われる",1,"AI_1",1,118078,1,118078,47,2512
"CR01131_CR01172_CR01169_CR01161_CR01144_CR01165",2,"AI_1,AI_3",2,35448,2,17724,6,5908
"未来人",1,"AI_1",1,28399,0,,6,4733
"手動DF_Smart+",1,"AI_1",1,20023,1,20023,5,4005
"緊急動画",1,"AI_3",1,18730,5,3746,7,2676
"横展開CR",2,"AI_1,AI_3",2,15949,2,7975,5,3190
"CR454_横展開再出稿",1,"AI_2",1,10136,1,10136,3,3379
"AIまとめ（休日ブースト）",1,"AI_3",1,10036,0,,0,
"おい会���員_1年後悔",1,"AI_1",1,9717,2,4859,0,
"やれやめろ＿編集強化",1,"AI_1",1,9487,0,,0,
"二極化(副業会社員)",1,"AI_3",1,8826,5,1765,5,1765
"AIまとめ1",1,"AI_2",1,7349,0,,2,3675
"スマプラ",2,"AI_2,AI_3",2,6943,4,1736,3,2314
"Claudeが重要",1,"AI_1",1,6624,6,1104,3,2208
"2026年AIツール_全ツール紹介_CTAあり",1,"AI_1",1,6318,0,,1,6318
"AI副業の嘘2（AI訴求）毎日投稿",1,"AI_1",1,6018,0,,4,1505
"二極化_SORA2_冒頭1_中間2-2",1,"AI_1",1,4513,0,,0,
"箕輪さん→3兆円企業",1,"AI_1",1,3066,0,,0,
"正直に答えてね",1,"AI_3",1,3010,0,,0,
"全部やめました-渋谷Ver",1,"AI_2",1,1432,0,,1,1432
"尻込み_ちえみさん",1,"AI_2",1,1101,0,,0,