アカウント名,月,消化額,CV数,CPA,フロント販売数,フロントCPO
AI_1,2025年9月,0,0,N/A,0,N/A
AI_1,2025年10月,0,0,N/A,0,N/A
AI_1,2025年11月,4101136,701,5850,61,67232
AI_1,2025年12月,10672121,301,35456,21,508196
AI_1,2026年1月,8707508,397,21933,47,185266
AI_1,2026年2月,18415816,866,21265,61,301899
AI_1,2026年3月,8268716,218,37930,13,636055
AI_2,2025年9月,0,0,N/A,0,N/A
AI_2,2025年10月,0,0,N/A,0,N/A
AI_2,2025年11月,17640230,1125,15680,169,104380
AI_2,2025年12月,57435410,1331,43152,168,341877
AI_2,2026年1月,831761,37,22480,4,207940
AI_2,2026年2月,1385927,61,22720,2,692964
AI_2,2026年3月,891445,85,10488,7,127349
AI_3,2025年9月,0,0,N/A,0,N/A
AI_3,2025年10月,0,0,N/A,0,N/A
AI_3,2025年11月,41356597,3889,10634,474,87250
AI_3,2025年12月,83433446,1840,45344,172,485078
AI_3,2026年1月,395567,9,43952,1,395567
AI_3,2026年2月,1435011,72,19931,5,287002
AI_3,2026年3月,1785495,112,15942,3,595165
AI_4,2025年9月,0,0,N/A,0,N/A
AI_4,2025年10月,0,0,N/A,0,N/A
AI_4,2025年11月,0,0,N/A,0,N/A
AI_4,2025年12月,0,0,N/A,0,N/A
AI_4,2026年1月,0,0,N/A,0,N/A
AI_4,2026年2月,0,0,N/A,0,N/A
AI_4,2026年3月,0,0,N/A,0,N/A