アカウント,LP-CR,広告名,03/08_消化,03/08_clicks,03/08_CPC,03/09_消化,03/09_clicks,03/09_CPC,03/10_消化,03/10_clicks,03/10_CPC,03/11_消化,03/11_clicks,03/11_CPC,03/12_消化,03/12_clicks,03/12_CPC,03/13_消化,03/13_clicks,03/13_CPC,合計消化,合計clicks,合計CPC
SP1,LP2-CR00432,"260223/下間優大/後悔書く＿箱＿手書き風/LP2-CR00432",1169,1,1169,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1169,1,1169
SP1,LP2-CR00431,"260223/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00431",2964,3,988,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,2964,3,988
SP1,LP2-CR00441,"260227/石黒研太/これじゃなくてこれ①/LP2-CR00441",4726,22,215,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,4726,22,215
SP1,LP2-CR00448,"260228/伊藤開己/おい会社員_ちえみさん/LP2-CR00448",112675,516,218,72627,332,219,30753,144,214,22496,100,225,16939,78,217,10707,53,202,266197,1223,218
SP1,LP2-CR00447,"260228/加藤悠仁/1日2時間あったら/LP2-CR00447",36542,80,457,17885,41,436,9009,22,410,1791,6,299,0,0,-,0,0,-,65227,149,438
SP1,LP2-CR00450,"260303/加藤悠仁/1日2時間あったら/LP2-CR00450",16774,54,311,16774,54,311,11755,42,280,5233,21,249,782,4,196,0,0,-,51318,175,293
SP1,LP2-CR00451,"260303/加藤悠仁/1日2時間あったら/LP2-CR00451",22809,85,268,22809,85,268,16309,58,281,11096,43,258,5054,19,266,0,0,-,78077,290,269
SP1,LP2-CR00449,"260303/石黒研太/副業収入生活/LP2-CR00449",22628,87,260,22628,87,260,11716,30,391,2456,6,409,0,0,-,0,0,-,59428,210,283
SP1,LP2-CR00456,"260304/荻野豪太/オートウェビナー_林社長_スキルプラス/LP2-CR00456",1664,3,555,1664,3,555,1664,3,555,0,0,-,0,0,-,0,0,-,4992,9,555
SP1,LP2-CR00459,"260304/下間優大/後悔書く＿箱＿手書き風/LP2-CR00459",4500,11,409,4500,11,409,4500,11,409,18,0,-,0,0,-,0,0,-,13518,33,410
SP1,LP2-CR00452,"260304/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00452",35392,189,187,39647,222,179,48212,264,183,46558,259,180,45188,248,182,32666,187,175,247663,1369,181
SP1,LP2-CR00457,"260304/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00457",4479,11,407,4479,11,407,4479,11,407,0,0,-,0,0,-,0,0,-,13437,33,407
SP1,LP2-CR00455,"260304/石黒研太/AI副業の嘘2セミナー毎日投稿/LP2-CR00455",6588,11,599,6588,11,599,6588,11,599,1560,4,390,0,0,-,0,0,-,21324,37,576
SP1,LP2-CR00454,"260304/石黒研太/AI副業の嘘セミナー　インスタ/LP2-CR00454",8125,27,301,8125,27,301,8125,27,301,1603,5,321,0,0,-,0,0,-,25978,86,302
SP1,LP2-CR00460,"260304/石黒研太/これじゃなくてこれ①/LP2-CR00460",6551,27,243,6551,27,243,6551,27,243,1514,6,252,0,0,-,0,0,-,21167,87,243
SP1,LP2-CR00458,"260304/千葉信輝/CPAが安いCR/LP2-CR00458",4331,24,180,4331,24,180,4331,24,180,0,0,-,0,0,-,0,0,-,12993,72,180
SP1,LP2-CR00464,"260305/千葉信輝/林社長も絶賛-ニュース-短編/LP2-CR00464",8060,29,278,8060,29,278,8060,29,278,8060,29,278,1535,7,219,0,0,-,33775,123,275
SP1,LP2-CR00465,"260305/千葉信輝/林社長も絶賛-ニュース-長編/LP2-CR00465",23530,57,413,28581,92,311,30015,109,275,30015,109,275,21526,94,229,16481,86,192,150148,547,274
SP1,LP2-CR00466,"260306/伊藤開己/おい会社員_ちえみさん/LP2-CR00466",18036,89,203,23062,110,210,24633,115,214,24633,115,214,24633,115,214,18102,86,210,133099,630,211
SP1,LP2-CR00468,"260307/清水絢吾/スマプラ/CVポイント検証/LP2-CR00468",10000,931,11,15000,1077,14,21247,1226,17,26247,1319,20,34697,1497,23,43147,1663,26,150338,7713,19
SP1,LP2-CR00469,"260307/清水絢吾/スマプラ/CVポイント検証/LP2-CR00469",6074,493,12,11074,876,13,13161,1011,13,13161,1011,13,13161,1011,13,13161,1011,13,69792,5413,13
SP1,LP2-CR00470,"260307/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00470",10000,925,11,15000,1251,12,16878,1284,13,16878,1284,13,16878,1284,13,16878,1284,13,92512,7312,13
SP1,LP2-CR00471,"260307/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00471",9920,1131,9,14920,1448,10,18302,1506,12,18302,1506,12,18302,1506,12,18302,1506,12,98048,8603,11
SP1,LP2-CR00467,"260307/鈴木織大/パパの脳内会議_セミナーver/LP2-CR00467",10027,50,201,15033,60,251,16441,63,261,16441,63,261,16441,63,261,16441,63,261,90824,362,251
SP1,LP2-CR00472,"260309/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00472",0,0,-,6614,31,213,8603,37,233,8603,37,233,8603,37,233,8603,37,233,41026,179,229
SP1,LP2-CR00473,"260309/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00473",0,0,-,6571,29,227,8351,33,253,8351,33,253,8351,33,253,8351,33,253,39975,161,248
SP1,LP2-CR00475,"260310/清水絢吾/新セミナーダイジェスト/トレンド_CTAなし_BGM1/LP2-CR00475",0,0,-,0,0,-,6598,639,10,15123,1525,10,20130,1869,11,25135,2253,11,66986,6286,11
SP1,LP2-CR00476,"260310/清水絢吾/新セミナーダイジェスト/権威_CTAあり_BGM1/LP2-CR00476",0,0,-,0,0,-,6555,352,19,6844,354,19,6844,354,19,6844,354,19,27087,1414,19
SP1,LP2-CR00477,"260310/清水絢吾/新セミナーダイジェスト/権威_CTAなし_BGM2/LP2-CR00477",0,0,-,0,0,-,5037,198,25,6263,218,29,6263,218,29,6263,218,29,23826,852,28
SP1,LP2-CR00482,"260311/伊藤開己/おい会社員_ちえみさん/LP2-CR00482",0,0,-,0,0,-,0,0,-,1123,2,562,1123,2,562,1123,2,562,3369,6,562
SP1,LP2-CR00481,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00481",0,0,-,0,0,-,0,0,-,5047,19,266,6772,24,282,6772,24,282,18591,67,277
SP1,LP2-CR00479,"260311/清水絢吾/スマプラ/おい会社員まとめ/LP2-CR00479",0,0,-,0,0,-,0,0,-,5000,476,11,6839,648,11,6839,648,11,18678,1772,11
SP1,LP2-CR00480,"260311/清水絢吾/はいそこまで（外）/動画ID変更/LP2-CR00480",0,0,-,0,0,-,0,0,-,1302,2,651,1302,2,651,1302,2,651,3906,6,651
SP1,LP2-CR00489,"260312/下間優大/二極化2/LP2-CR00489",0,0,-,0,0,-,0,0,-,0,0,-,6531,10,653,6997,11,636,13528,21,644
SP1,LP2-CR00488,"260312/加藤悠仁/1日2時間あったら/LP2-CR00488",0,0,-,0,0,-,0,0,-,0,0,-,8505,26,327,8833,27,327,17338,53,327
SP1,LP2-CR00487,"260312/石黒研太/AI副業の嘘セミナー/LP2-CR00487",0,0,-,0,0,-,0,0,-,0,0,-,6553,11,596,6932,14,495,13485,25,539
SP1,LP2-LP00474,"26310/清水絢吾/新セミナーダイジェスト/キャンペーン_CTAなし_BGM2/LP2-LP00474",0,0,-,0,0,-,5043,372,14,6208,412,15,6208,412,15,6208,412,15,23667,1608,15
SP2,LP2-CR00417,"260219/下間優大/後悔書く＿冒頭記述＿縦書き/LP2-CR00417",7546,48,157,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,7546,48,157
SP2,LP2-CR00419,"260219/清水絢吾/おい会社員(クリーン)/冒頭2/LP2-CR00419",6035,14,431,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,6035,14,431
SP2,LP2-CR00438,"260219/石黒研太/AI副業の嘘 8/LP2-CR00438",61,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,61,0,-
SP2,LP2-CR00435,"260224/下間優大/後悔書く＿箱＿手書き風/LP2-CR00435",5578,38,147,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,5578,38,147
SP2,LP2-CR00440,"260226/加藤悠仁/1日2時間あったら/LP2-CR00440",9528,43,222,2606,12,217,0,0,-,0,0,-,0,0,-,0,0,-,12134,55,221
SP2,LP2-CR00444,"260301/下間優大/二極化/LP2-CR00444",7076,30,236,3320,9,369,0,0,-,0,0,-,0,0,-,0,0,-,10396,39,267
SP2,LP2-CR00446,"260301/清水絢吾/おい会社員(セミナー)/演出あり/冒頭1/LP2-CR00446",32686,157,208,28952,140,207,24454,115,213,20256,97,209,16386,83,197,10118,47,215,132852,639,208
SP2,LP2-CR00445,"260301/鈴木織大/会社に依存/LP2-CR00445",9057,39,232,5307,19,279,0,0,-,0,0,-,0,0,-,0,0,-,14364,58,248
SP2,LP2-CR00453,"260304/加藤悠仁/1日2時間あったら/LP2-CR00453",31051,163,190,34507,183,189,34507,183,189,27900,157,178,21650,130,167,14169,83,171,163784,899,182
SP2,LP2-CR00461,"260304/石黒研太/AI副業の嘘 冒頭8/LP2-CR00461",27813,210,132,31065,252,123,31065,252,123,26038,225,116,21751,208,105,12778,159,80,150510,1306,115
SP2,LP2-CR00462,"260304/石黒研太/AI副業の嘘セミナー インスタ/LP2-CR00462",24547,107,229,27526,125,220,27526,125,220,22517,103,219,16492,78,211,10667,59,181,129275,597,217
SP2,LP2-CR00463,"260304/石黒研太/AI副業の嘘セミナー 毎日投稿/LP2-CR00463",30871,252,123,34327,282,122,34327,282,122,25863,238,109,19942,197,101,14245,145,98,159575,1396,114
SP2,LP2-CR00478,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00478",0,0,-,0,0,-,0,0,-,66,1,66,66,1,66,66,1,66,198,3,66
SP2,LP2-CR00486,"260311/清水絢吾/おい会社員/演出あり/冒頭1/LP2-CR00486",0,0,-,0,0,-,0,0,-,6551,28,234,7936,33,240,7936,33,240,22423,94,239
SP2,LP2-CR00484,"260311/清水絢吾/はいそこまで（外）/LP2-CR00484",0,0,-,0,0,-,0,0,-,3024,10,302,6451,23,280,6465,23,281,15940,56,285
SP2,LP2-CR00485,"260311/清水絢吾/新セミナーダイジェスト/LP2-CR00485",0,0,-,0,0,-,0,0,-,3066,34,90,6853,95,72,6857,95,72,16776,224,75
SP2,LP2-CR00483,"260311/箕輪さんCR/TikTok_冒頭2-①/LP2-CR00483",0,0,-,0,0,-,0,0,-,3025,28,108,8184,76,108,8207,76,108,19416,180,108