account,startDate,endDate,daysDuplicated,spendPerRow,cv,impressions,phantomSpendTotal,adName,tiktokId
AI_2,2026-04-01,2026-04-04,4,398499,98,200869,1195497,"260329/千葉信輝/過去の当たりCR/LP1-CR01132",1861004791157921
AI_1,2026-03-29,2026-04-01,4,218791,64,165458,656373,"260326/千葉信輝/過去の当たりCR/LP1-CR01105",1860642870567985
AI_1,2026-03-27,2026-03-28,2,218791,64,165459,218791,"260326/千葉信輝/過去の当たりCR/LP1-CR01105",1860642870567985
AI_2,2026-04-05,2026-04-09,5,49879,12,26361,199516,"260404/横展開/CR454_横展開/LP1-CR01147",1861472213265410
AI_1,2026-03-30,2026-04-03,5,46766,21,34525,187064,"260328/鈴木織大/ClaudeCode解説/LP1-CR01127",1860803930046689
AI_2,2026-03-27,2026-03-30,4,58875,27,19972,176625,"260324/鈴木織大/ClaudeCodeレベル/LP1-CR01099",1860510977548370
AI_2,2026-03-25,2026-03-26,2,171699,27,158268,171699,"260320/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00230",1860117023321169
AI_1,2026-04-07,2026-04-09,3,41299,18,30794,82598,"260404/横展開/CR178_横展開/LP1-CR01156",1861475324686625
AI_1,2026-04-11,2026-04-13,3,39812,9,30276,79624,"260407/高橋海斗/【ねねさん】Claude_Code/LP1-CR01183",1861719757108369
AI_2,2026-04-07,2026-04-09,3,32471,10,18590,64942,"260404/在中悠也/説明しようAI_冒頭1_林社長/LP1-CR01162",1861476494454898
AI_2,2026-03-26,2026-03-29,4,15578,8,4365,46734,"260323/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01096",1860420037914674
AI_2,2026-03-26,2026-03-30,5,11668,4,5264,46672,"260323/鈴木織大/全部やめました-渋谷Ver/LP1-CR01095",1860419943531858
AI_2,2026-03-27,2026-03-30,4,15490,6,7859,46470,"260323/鈴木織大/尻込み_ちえみさん/LP1-CR01094",1860419942288418
AI_2,2026-03-27,2026-03-31,5,10494,4,4047,41976,"260325/千葉信輝/AIまとめ1/LP1-CR01102",1860604954530065
AI_4,2026-04-04,2026-04-05,2,35106,0,226886,35106,"260329/千葉信輝/過去の当たりCR/LP1-CR01141",1861007089059121
AI_2,2026-03-25,2026-03-26,2,32263,6,34763,32263,"260320/千葉信輝/AI1調子いいスマプラ/LP1-CR01076",1860090644043778
AI_1,2026-03-29,2026-03-31,3,16025,3,6998,32050,"260325/伊藤開己/未来人/LP1-CR01101",1860554063030274
AI_3,2026-04-04,2026-04-05,2,31637,10,19786,31637,"260329/千葉信輝/過去の当たりCR/LP1-CR01136",1861004812222673
AI_3,2026-04-04,2026-04-05,2,30511,17,19387,30511,"260329/千葉信輝/過去の当たりCR/LP1-CR01134",1861005376778354
AI_1,2026-04-02,2026-04-06,5,7131,1,4026,28524,"260331/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01142",1861073957168418
AI_1,2026-03-26,2026-03-30,5,6979,1,5429,27916,"260324/楢木野萌/お絵描きムービー（プロンプト）/LP6-CR00004",1860503369171010
AI_3,2026-03-28,2026-04-01,5,6974,0,5019,27896,"260326/千葉信輝/AIまとめ（休日ブースト）/LP2-CR00238",1860614795506018
AI_2,2026-03-25,2026-03-29,5,6953,1,5749,27812,"260323/清水絢吾/林社長/冒頭③-コピー6/LP2-CR00237",1860419870263442
AI_1,2026-03-27,2026-04-01,6,5140,1,2376,25700,"260326/鈴木織大/2026年AIツール_全ツール紹介_CTAあり/LP1-CR01103",1860614906484818
AI_1,2026-03-27,2026-04-01,6,4973,1,2795,24865,"260326/鈴木織大/ClaudeCode解説/LP1-CR01106",1860699839565249
AI_1,2026-03-27,2026-04-01,6,4964,4,7738,24820,"260326/千葉信輝/AI副業の嘘2（AI訴求）毎日投稿/LP1-CR01108",1860701290181729
AI_3,2026-03-25,2026-03-30,6,4236,0,1509,21180,"260324/鈴木織大/ClaudeCodeレベル/LP1-CR01100",1860511029831826
AI_2,2026-03-27,2026-04-01,6,4204,1,1681,21020,"260326/鈴木織大/ClaudeCode解説/LP1-CR01107",1860700655168577
AI_1,2026-04-05,2026-04-08,4,6999,1,7014,20997,"260404/横展開/CR178_横展開/LP1-CR01155",1861475008656497
AI_4,2026-04-01,2026-04-03,3,9763,0,56053,19526,"260328/鈴木織大/箕輪さんまとめ/LP4-CR00008",1860895075114289
AI_1,2026-03-27,2026-04-01,6,3776,0,1174,18880,"260326/在中悠也/二極化_SORA2_冒頭1_中間2-2/LP1-CR01104",1860614954599810
AI_1,2026-04-11,2026-04-13,3,8814,1,11310,17628,"260409/石黒研太/AI全部やめました渋谷Ver/LP1-CR01199",1861923903237570
AI_3,2026-04-11,2026-04-13,3,8779,2,11206,17558,"260409/スマプラ/CR01131_CR01172_CR01169_CR01161_CR01144_CR01165/LP1-CR01198",1861911044800929
AI_2,2026-04-05,2026-04-09,5,4149,1,10937,16596,"260404/横展開/CR178_横展開/LP1-CR01157",1861475633962210
AI_2,2026-04-05,2026-04-09,5,3237,0,6797,12948,"260404/横展開/CR178_横展開/LP1-CR01158",1861475801880690
AI_1,2026-04-08,2026-04-13,4,4016,1,10104,12048,"260407/5CRまとめ/手動DF_Smart+/LP1-CR01185",1861779220790273
AI_1,2026-04-05,2026-04-08,4,3993,0,5341,11979,"260404/横展開/CR454_横展開/LP1-CR01151",1861474137387266
AI_3,2026-04-05,2026-04-08,4,3985,1,5891,11955,"260404/横展開/CR454_横展開/LP1-CR01152",1861474428823697
AI_1,2026-04-08,2026-04-13,4,3984,1,8187,11952,"260407/高橋海斗/【ねねさん】Claude_Code/LP1-CR01184",1861721568052226
AI_3,2026-04-05,2026-04-08,4,3971,1,8929,11913,"260404/横展開/CR454_横展開/LP1-CR01148",1861472364063857
AI_1,2026-04-06,2026-04-11,4,3289,0,1248,9867,"260405/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01165",1861599228675250
AI_1,2026-04-06,2026-04-11,4,3282,0,1747,9846,"260405/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01164",1861603286063458
AI_1,2026-04-05,2026-04-08,4,3197,0,4144,9591,"260404/横展開/CR454_横展開/LP1-CR01146",1861471376810018
AI_2,2026-03-25,2026-03-27,3,4771,1,18402,9542,"260321/千葉信輝/LP2勝ちCRまとめ/LP2-CR00233",1860190509394993
AI_1,2026-04-05,2026-04-08,4,3115,1,5926,9345,"260404/横展開/CR454_横展開/LP1-CR01149",1861473506200881
AI_1,2026-04-11,2026-04-13,3,3239,0,2193,6478,"260411/鈴木織大/おい会���員_1年後悔/LP1-CR01207",1862059135439410
AI_2,2026-04-11,2026-04-13,3,3166,1,2557,6332,"260411/横展開/CR454_横展開/LP1-CR01207",1862060201804962
AI_2,2026-03-25,2026-03-27,3,3078,0,11110,6156,"260321/千葉信輝/LP1勝ちCRまとめ/LP1-CR01084",1860190150698513
AI_1,2026-04-11,2026-04-13,3,3073,0,4153,6146,"260409/石黒研太/AI全部やめました渋谷Ver/LP1-CR01202",1861923929431281
AI_2,2026-04-11,2026-04-13,3,3072,0,1273,6144,"260409/横展開/CR454_横展開/LP1-CR01191",1861906634465426
AI_1,2026-04-11,2026-04-13,3,3061,0,3265,6122,"260409/石黒研太/AI全部やめました渋谷Ver/LP1-CR01201",1861923923656722
AI_1,2026-04-11,2026-04-13,3,3046,0,3447,6092,"260409/石黒研太/AI全部やめました渋谷Ver/LP1-CR01203",1861923947011265
AI_1,2026-04-11,2026-04-13,3,3037,0,2601,6074,"260409/スマプラ/CR01131_CR01172_CR01169_CR01161_CR01144_CR01165/LP1-CR01192",1861910207970305
AI_1,2026-04-11,2026-04-13,3,3007,0,4251,6014,"260409/石黒研太/AI全部やめました渋谷Ver/LP1-CR01200",1861923921044514
AI_3,2026-03-25,2026-03-26,2,6012,0,6295,6012,"260320/千葉信輝/AI1調子いいスマプラまとめ/LP1-CR01077",1860091027333410
AI_3,2026-03-25,2026-03-26,2,4232,4,8090,4232,"260320/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00231",1860117023324273
AI_1,2026-04-07,2026-04-08,2,3831,0,5909,3831,"260324/鈴木織大/箕輪さんまとめ/LP4-CR00003",1860511909082241
AI_2,2026-04-12,2026-04-13,2,3496,1,2194,3496,"260411/千葉信輝/箕輪さんまとめ/LP4-CR00015",1862099818864738
AI_2,2026-04-12,2026-04-13,2,3379,1,1885,3379,"260411/横展開/CR454_横展開再出稿/LP1-CR01208",1862065345575042
AI_1,2026-04-12,2026-04-13,2,3246,0,4036,3246,"260411/高橋海斗/やれやめろ＿編集強化/LP1-CR01206",1862056894107858
AI_2,2026-04-12,2026-04-13,2,3206,0,2946,3206,"260411/横展開/CR454_横展開/LP1-CR01210",1862148866009122
AI_1,2026-04-12,2026-04-13,2,3064,0,10820,3064,"260411/鈴木織大/箕輪さんまとめ/LP4-CR00014",1862099740739745
AI_1,2026-04-12,2026-04-13,2,3014,0,3366,3014,"260411/石黒研太/AI全部やめました渋谷Ver/LP1-CR01205",1862055831911681
AI_1,2026-04-12,2026-04-13,2,3011,1,4253,3011,"260411/横展開/横展開CR/LP1-CR01211",1862149265242482